"id", "mean_ThinQR_time_elapsed","std_ThinQR_time_elapsed", "mean_QR_time_elapsed", "std_QR_time_elapsed", "mean_mQR_time_elapsed", "std_mQR_time_elapsed"
275,4.0939,0.036914,1.6729,0.13355,0.0071032,0.0010219
276,4.5238,0.02544,1.7702,0.03167,0.0075514,0.0005733
277,5.1766,0.18311,1.9614,0.19199,0.01014,0.0021477
278,5.9917,0.42797,1.9225,0.11629,0.0094141,0.00073439
279,5.7955,0.19167,2.0794,0.034395,0.010425,0.0010071
280,6.2006,0.048572,2.0561,0.16378,0.012002,0.002779
281,0.081013,0.0083386,0.099196,0.0045432,0.00021103,4.5312e-05
282,0.1764,0.0030901,0.19086,0.0065153,0.00036774,8.1292e-06
283,0.30059,0.039194,0.30772,0.040754,0.00062666,4.29e-05
284,0.46764,0.074803,0.43873,0.066388,0.00097852,8.1192e-05
285,0.65968,0.027593,0.61009,0.0055643,0.0013713,7.0359e-05
286,0.82786,0.074475,0.72247,0.0041528,0.0021065,0.00062995
287,1.3645,0.17882,0.9941,0.12787,0.0062811,0.0044169
288,1.7798,0.1821,1.0796,0.096829,0.0039105,0.0011857
289,1.8496,0.088397,1.0836,0.0070557,0.0040759,0.0004708
290,2.2377,0.079057,1.2066,0.0052925,0.0046572,0.00030207
291,3.1371,0.04707,1.3451,0.016491,0.0062587,0.0006002
292,3.6517,0.21245,1.5263,0.097235,0.0071506,0.0010336
293,3.656,0.0124,1.4858,0.11975,0.0091811,0.0020078
294,4.0231,0.042968,1.6533,0.011695,0.0089972,0.00051607
295,5.0802,1.1195,1.8552,0.045549,0.0086564,0.0024576
296,5.237,0.3741,1.916,0.15844,0.0087371,0.0014205
297,5.3019,0.19028,1.973,0.072222,0.0097359,0.0013823
298,5.7101,0.066781,2.0538,0.11489,0.0096316,0.00043191
299,6.1384,0.25158,2.1313,0.12172,0.011564,0.0018501
300,6.5513,0.12346,2.2216,0.17257,0.012055,0.00065182
301,0.079825,0.0044433,0.10021,0.0046924,0.00021633,2.6854e-05
302,0.1914,0.0053373,0.19834,0.0068698,0.00040428,2.9468e-05
303,0.34858,0.011612,0.38779,0.0064013,0.00083296,0.00018925
304,0.53369,0.015145,0.51218,0.0055861,0.0009993,2.6033e-05
305,0.76848,0.033844,0.64045,0.0087451,0.0016243,0.00028406
306,1.0294,0.036859,0.75552,0.0066909,0.0027431,0.0011558
307,1.3064,0.052559,0.88365,0.012784,0.0026259,0.0001935
308,1.6141,0.079841,1.0056,0.016189,0.0034461,0.00039236
